Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,dependency_score,satisfaction_flag,freq_numeric,composite_value_score,value_tier,loyalty_volume,loyalty_frequency,chosen_loyalty_flag,age_group
1,55,Male,Blouse,Clothing,53,Kentucky,L,Gray,Winter,3.1,Yes,Express,Yes,Yes,14,Venmo,Fortnightly,1.0,0,26,0.4820512820512821,Medium,0,0,0,Boomers (51+)
2,19,Male,Sweater,Clothing,64,Maine,L,Maroon,Winter,3.1,Yes,Express,Yes,Yes,2,Cash,Fortnightly,1.0,0,26,0.4113333333333334,Medium,0,0,0,Gen Z (18–24)
3,50,Male,Jeans,Clothing,73,Massachusetts,S,Maroon,Spring,3.1,Yes,Free Shipping,Yes,Yes,23,Credit Card,Weekly,1.0,0,52,0.685025641025641,Medium,0,0,0,Gen X (36–50)
4,21,Male,Sandals,Footwear,90,Rhode Island,M,Maroon,Spring,3.5,Yes,Next Day Air,Yes,Yes,49,PayPal,Weekly,1.0,0,52,0.9346410256410257,High,1,0,1,Gen Z (18–24)
5,45,Male,Blouse,Clothing,49,Oregon,M,Turquoise,Spring,2.7,Yes,Free Shipping,Yes,Yes,31,PayPal,Annually,1.0,0,1,0.34984615384615386,Low,0,0,0,Gen X (36–50)
6,46,Male,Sneakers,Footwear,20,Wyoming,M,White,Summer,2.9,Yes,Standard,Yes,Yes,14,Venmo,Weekly,1.0,0,52,0.4825384615384616,Medium,0,0,0,Gen X (36–50)
7,63,Male,Shirt,Clothing,85,Montana,M,Gray,Fall,3.2,Yes,Free Shipping,Yes,Yes,49,Cash,Quarterly,1.0,0,4,0.6681282051282051,Medium,1,0,1,Boomers (51+)
8,27,Male,Shorts,Clothing,34,Louisiana,L,Charcoal,Winter,3.2,Yes,Free Shipping,Yes,Yes,19,Credit Card,Weekly,1.0,0,52,0.558025641025641,Medium,0,0,0,Millennials (25–35)
9,26,Male,Coat,Outerwear,97,West Virginia,L,Silver,Summer,2.6,Yes,Express,Yes,Yes,8,Venmo,Annually,1.0,0,1,0.2833846153846154,Low,0,0,0,Millennials (25–35)
10,57,Male,Handbag,Accessories,31,Missouri,M,Pink,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,4,Cash,Quarterly,1.0,1,4,0.17710256410256411,Low,0,0,0,Boomers (51+)
